TÍTULO;Subtítulo;Autor;Edição;Ano;Editora;Número;Tombo;Classificação;Assunto;Data Carimbo;Observação;ISBN;;;;;;;;;;;;;
A batalha final;;Rick Joyner;;2010;Danprewan;35;;;Escatologia;;;;;;;;;;;;;;;;
A colheita;A escolha está feita;"Tim Lahaye; Jerry B. Jenkins";;2000;United Press;111;0000076;813.5;Literatura americana - ficção;5/9/2008;"Coleção; 4";;;;;;;;;;;;;;
A cruz de Hitler;como a cruz de Cristo foi usada para promover a ideologia nazista;Erwin Lutzer;;2003;Editora Vida;264;;261.70943;Igreja - história / Alemanha - nazismo;;;;;;;;;;;;;;;;
A cruz e o crescente;Cristianismo e Islâ, de Maomé à Reforma;Richard Fletcher;;2004;Nova Fronteira;23;;261.27/F612;Cristianismo;;;;;;;;;;;;;;;;
A cura da alma;Seminário de Profundidade Espiritual;Joá Caitano;;;Geográfica ;284;;;Cura;;2 exemplares em edições diferentes;;;;;;;;;;;;;;
A democracia invade o Islâ;;Arno Froese;;2011;Actual;3;;;;;;;;;;;;;;;;;;;
A família de adoradores;;João Falcão Sobrinho;;2009;UFMBB;51;;249/F178f;Programas de Culto;;;;;;;;;;;;;;;;
A fé na era do ceticismo;como a razão explica Deus;Timothy Keller;;2017;Vida Nova;;;239/K29f;Apologética;;;;;;;;;;;;;;;;
A gazela de Jope;;Ebenézer Gomes Cavalcanti;;1971;Casa Publicadora Batista;147;;244;Literatura?;;Observar conteúdo;;;;;;;;;;;;;;
A igreja saudável;Evitando e curando as novas enfermidades...;Peter Wagner;2.ed;1999;Quadrangular;14;;250/W132i;Igreja;;;;;;;;;;;;;;;;
A túnica inconsútil;Doutrina da igreja;João Falcão Sobrinho;;1998;JUERP;34;;230.6/F178t;Doutrina;;Avaliar;;;;;;;;;;;;;;
Adoração Bíblica;O que Deus espera de sua igreja;Paulo Roberto Lopes Conceição;;;Grafê;27;;;;;Descarte? Páginas molhadas;;;;;;;;;;;;;;
Apocalipse;A última vitória de Satanás;Arno Froese;;2009;Actual;15;;228/F926a;Escatologia;;;;;;;;;;;;;;;;
Apoliom;o destruidor está solto;"Tim Lahaye; Jerry B. Jenkins";;2000;United Press;277;;813.5;Literatura americana - ficção;;"Coleção; 5";;;;;;;;;;;;;;
Aprendendo a Bíblia;Através de Perguntas, respostas e exercícios;Lauro Batista Pereira;2.ed;2004;CPAD;2;;220.07/P436a;Bíblia - estudo;;;;;;;;;;;;;;;;
Arqueologia do Velho Testamento;;Merril F. Unger;;1985;Imprensa Batista Regular;293;;;Velho Testamento - arqueologia;;2 exemplares;;;;;;;;;;;;;;
As cinco linguagens do amor;dos adoslescentes;Gary Chapman;2.ed;2011;Mundo Cristão;7;;;Relacionamento;;;;;;;;;;;;;;;;
As profecias do Apocalipse;A verdade sobre o fim do mundo;Arthur E. Bloomfield;7.ed;1996;Betânia;29;;228.015/B655p;Escatologia;;;;;;;;;;;;;;;;
As razões da esperança;O conhecimento do caráter de Deus e a cura da ansiedade;Antônio Carlos Costa;;2010;Pontal do Atalaia;13;;;;;;;;;;;;;;;;;;;
Bênção e maldição;as palavras tem um poder muito maior do que você imagina;Jorge Linhares;45.ed;2002;Getsêmani;432;;;Aconselhamento - Bíblia;;;;;;;;;;;;;;;;
Confissões surpreendentes de um ex-Padre;;José Barbosa de Sena Neto;;2004;Ados;54;;230.2/S474c;Biografia;;;;;;;;;;;;;;;;
Curai enfermos e expulsai demônios;;T. L. Osborn;;2000;Graça Editorial;270;;234.13;Cura - Bíblia;;;;;;;;;;;;;;;;
Daniel e Apocalipse;Compreendendo o plano de Deus para estes últimos dias;Antônio Gilberto;15.ed;1999;CPAD;11;0000042;224.5/S578D;Escatologia;23/05/2008;;;;;;;;;;;;;;;
Descomplicando as profecias de Daniel;;Arno Froese;;2005;Actual;139;0000015;224.506;Velho Testamento - Daniel;;(Descomplicando as Profecias);8587278959;;;;;;;;;;;;;
Deus e o mal;;Willian Fitch;;1984;Publicações Evangélicas Selecionadas;16;;111.84/F544d;Soberania de Deus;;;;;;;;;;;;;;;;
Do terror à esperança;Paradigmas para uma escatologia integral;Alberto Fernando Roldán;;2001;Descoberta;30;;;;;;;;;;;;;;;;;;;
Eclesiastes;versículo por versículo;Joel Leitão de Melo;;1999;CPAD;174;0000061;223.8;Velho Testamento - Eclesiastes;;;8526302035;;;;;;;;;;;;;
Edificando a igreja pelo ensino da palavra;;Rayfran Batista da Silva;5.ed/V.1;2013;Expressão;32;;220.07/S586e;Doutrina;;;;;;;;;;;;;;;;
Egito, deserto, Canaã;;Enéas Tognini;;1972;Enéas Tognini;46;;;;;;;;;;;;;;;;;;;
Entenda a fé cristã;um guia prático e acessível com 20 questões que todo cristão precisa conhecer;Wayne Grudem;;2012;Vida Nova;56;;230/G885e;Bíblia - estudo;;com grifos de caneta;;;;;;;;;;;;;;
Estudo no livro de Ezequiel;;Antonio Neves de Mesquita;;1978;JUERP;297;;224;Velho Testamento - Ezequiel;;;;;;;;;;;;;;;;
Eu creio na pregação;;John Stott;;2003;Vida;10;;251/S888e;Bíblia - pregação;;Avaliar;;;;;;;;;;;;;;
Geografia Bíblica;Contribuição para o estudo de geografia histórica;Osvaldo Ronis;;1999;JUERP;17;0000029;220.91/R773G;Geografia;23/05/2008;;;;;;;;;;;;;;;
Guerra Santa para a Terra Prometida;A luta de Israel para sobreviver no Oriente Médio;David Dolan;;1993;Candeia;18;;956.04/D659g;História;;;;;;;;;;;;;;;;
Igreja? To fora!;;Ricardo Agreste;;2007;Socep;45;;;;;2 exemplares;;;;;;;;;;;;;;
Juntos somos melhores;Por que estamos aqui?;Rick Warren;2.ed;2014;Vida;57;;248.4/W286j;Vida cristã;;2 exemplares;;;;;;;;;;;;;;
Lançarei as redes;;Lindolfo Weingartner;;1993;Encontrão Editora;5;;;;;;;;;;;;;;;;;;;
Manual da igreja e do obreiro;;Ebenezer Soares Ferreira;11.ed;2002;JUERP;33;0000057;262/F383m;;05/09/2008;Avaliar/Exemplar 2: 6.ed 1989;;;;;;;;;;;;;;
Manual do discípulo ;;Paulo Solonca;;2002;"SOCEP; Editora do Discípulo";73;000007;;Discipulado;;v.4;;;;;;;;;;;;;;
Manual do discípulo ;;Paulo Solonca;;1998;"SOCEP; Editora do Discípulo";74;000006;232.954;Discipulado;;v.3;;;;;;;;;;;;;;
Milagres da fé;Como Deus realiza milagres...;Galdino Moreira Filho;;1982;Betânia;22;;;;;Avaliar;;;;;;;;;;;;;;
Miqueias;Nosso contemporâneo;Isaltino Gomes C. Filho;;1995;JUERP;44;0000011;224.9/C672M;;;;;;;;;;;;;;;;;
Moral e evangelização hoje;A moral da evangelização e a evangelização da moral;Bernhard Haering;;1977;Edições Paulinas;12;0000066;253.7/H136m;Evangelismo;05/09/2008;;;;;;;;;;;;;;;
Natal e Ano Novo;;Elza S do Valle Andrade;4.ed;2010;UFMBB;50;;259.8/P964p;Programas de Culto;;;;;;;;;;;;;;;;
Nicolae;o anticristo chega ao poder;"Tim Lahaye; Jerry B. Jenkins";;1999;United Press;60;0000064;813.5;Literatura americana - ficção;5/9/2008;"Coleção; 3";;;;;;;;;;;;;;
Novos caminhos para a educação cristã;;Júlio Zabatiero;;2009;Hagnos;20;;;Educação cristã;;;;;;;;;;;;;;;;
O contrabandista de Deus;;"Irmão André; John Sharrill; Elizabeth Sharrill";2.ed;2003;Betânia;42;;;;;;;;;;;;;;;;;;;
O delírio de Dawkins;Uma resposta ao fundamentalismo ateísta de Richard Dawkins;"Alister McGrath; Joanna McGrath";;2007;Mundo Cristão;26;;;;;;;;;;;;;;;;;;;
O fim do mundo;o que Jesus realmente disse sobre sua segunda vinda;A. J. Conyers;;1997;Mundo Cristão;53;;236.09015/C768f;Escatologia;;;;;;;;;;;;;;;;
O início da jornada;;Rick Joyner;;2001;Dynamus;8;;;;;Avaliar;;;;;;;;;;;;;;
O papado e o dogma de Maria;à luz da Bíblia e da história;Hernandes Dias Lopes;;2005;Hagnos;;;262.13;Ensino - história;;;;;;;;;;;;;;;;
O que é uma igreja saudável?;;Mark Dever;;2009;Fiel;9;;;;;Avaliar;;;;;;;;;;;;;;
O segredo da alegria;;Livio Renato Oliveira;;2008;Socep;40;;;;;Descarte;;;;;;;;;;;;;;
O segredo dos Ititas;;C. W. Ceran;;1957;Itatiaia;4;;;;;Descarte?;;;;;;;;;;;;;;
Onde está o seu irmão;Um desafio para que a igreja...;"Sinfrônio Jardim Neto; Dária Tiyoko Jardim";;1997;Betânia;24;;;;;;;;;;;;;;;;;;;
Pai o Deus cristão;Um mergulho terapêutico...;Antônio Alves;;2001;Pontal do Atalaia;1;;;;;;;;;;;;;;;;;;;
Pais discipuladores;um guia para o discipulado em família;Tad Thompson;;2011;Vida Nova;330;;248.845;Discipulado/ pais e filhos / educação religiosa;;;9,78853E+12;;;;;;;;;;;;;
Porque Deus condena o Espiritismo;;Jefferson Magno Costa;;;;21;;;;;Descarte. Despencando, faltando páginas;;;;;;;;;;;;;;
Primeiros passos no discipulado cristão;;Paulo Solonca;;;"SOCEP; Editora do Discípulo";80;000003;232;Discipulado;;;;;;;;;;;;;;;;
Pureza sexual;Como vencer sua guerra interior;Robert Daniels;;2000;CPAD;41;;;;;Exemplar 2: 6.ed 2008;;;;;;;;;;;;;;
Quebrando paradigmas;;Ed Renê Kivitz;5.ed;2002;Abba Press;36;0000023;269/K62q;Doutrina;;Exemplar 2: 6.ed 2007;;;;;;;;;;;;;;
Reinos em guerra;;"Bill Bright; Ron Jenson";;1993;Candeia;25;;;;;;;;;;;;;;;;;;;
Respostas para a vida;Respostas confiáveis...;;;;Liga Bíblica;37;;;;;;;;;;;;;;;;;;;
Sombras, tipo e mistérios da Bíblia;Descobrindo o verdadeiro significado das profecias bíblicas;Joel Leitão de Melo;15.ed;2001;CPAD;19;0000060;220.64/M528s;Bíblia - profecias;05/09/2008;;;;;;;;;;;;;;;
Supercrentes;O Evangelho segundo Kenneth Hagin...;Paulo Romeiro;8.ed;1999;Mundo Cristão;6;;;;;;;;;;;;;;;;;;;
Teologia do Velho Testamento;;A. R. Crabtree;2.ed;1977;JUERP;295;;221.01;Velho Testamento - Teologia;;;;;;;;;;;;;;;;
Teologia protestante ao alcance de todos;;Willian Hodern;3.ed;1986;JUERP;31;0000049;280.4;;23/05/2008;;;;;;;;;;;;;;;
Tortura, nunca mais;Uma abordagem diferente sobre perdão;Tito Oscar;;1998;Vida;43;0000027;243;;03/05/2008;;;;;;;;;;;;;;;
Uma vida com propósito;Você não está aqui por acaso;Rick Warren;;2008;Vida;38;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
